<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20170103;110000;56.8300000;57.1800000;56.8300000;57.0000000;53399
20170103;120000;57.0000000;57.4800000;56.9200000;57.4600000;148240
20170103;130000;57.4600000;58.3500000;57.4000000;58.1000000;218275
20170103;140000;58.1100000;58.1200000;57.9100000;58.0300000;84596
20170103;150000;58.0300000;58.2300000;58.0200000;58.0300000;59122
20170103;160000;58.0300000;58.1100000;57.9400000;58.0800000;31218
20170103;170000;58.0800000;58.1800000;57.7500000;57.8600000;70394
20170103;180000;57.8500000;58.2900000;57.8500000;58.0800000;107109
20170103;190000;58.0900000;58.2200000;57.7100000;57.7300000;77089
20170103;200000;57.7100000;57.7100000;55.7000000;55.9000000;526529
20170103;210000;55.8900000;56.0300000;55.3800000;55.5900000;269218
20170103;220000;55.5800000;55.8100000;55.4500000;55.6600000;108702
20170103;230000;55.6600000;55.8800000;55.2900000;55.4000000;89390
20170104;000000;55.4000000;55.6500000;55.3400000;55.6400000;32634
20170104;110000;55.6600000;55.8500000;55.5300000;55.7100000;76354
20170104;120000;55.7000000;56.1600000;55.6900000;55.9700000;127345
20170104;130000;55.9700000;56.0000000;55.7000000;55.8900000;86850
20170104;140000;55.8800000;55.9300000;55.5200000;55.5600000;82114
20170104;150000;55.5500000;55.8500000;55.4500000;55.8200000;88234
20170104;160000;55.8200000;55.9500000;55.7000000;55.7700000;53096
20170104;170000;55.7700000;55.9800000;55.5000000;55.6600000;112568
20170104;180000;55.6600000;55.7500000;55.3300000;55.4300000;121089
20170104;190000;55.4300000;55.6400000;55.4300000;55.5900000;53588
20170104;200000;55.6600000;56.3700000;55.6400000;56.2500000;152296
20170104;210000;56.2500000;56.4700000;56.0700000;56.4000000;86653
20170104;220000;56.4100000;56.4900000;56.3300000;56.4000000;44006
20170104;230000;56.4000000;56.5300000;56.2300000;56.3000000;59792
20170105;000000;56.2900000;56.3600000;56.2400000;56.2700000;12125
20170105;110000;56.2700000;56.4800000;56.2500000;56.3200000;41064
20170105;120000;56.3200000;56.4200000;56.1500000;56.3700000;64711
20170105;130000;56.3700000;56.4000000;56.1800000;56.2800000;30229
20170105;140000;56.2900000;56.5600000;56.2400000;56.5400000;44460
20170105;150000;56.5300000;57.0400000;56.4900000;57.0000000;67435
20170105;160000;57.0000000;57.0900000;56.8400000;56.9500000;44525
20170105;170000;56.9400000;56.9900000;56.7700000;56.9300000;41069
20170105;180000;56.9200000;57.1300000;56.7500000;57.0800000;62909
20170105;190000;57.0800000;57.3500000;56.9400000;57.0600000;69493
20170105;200000;57.0500000;57.0500000;55.9900000;56.3200000;278249
20170105;210000;56.3300000;56.7700000;56.2200000;56.7600000;87751
20170105;220000;56.7600000;56.9500000;56.6300000;56.7100000;87885
20170105;230000;56.6900000;57.0000000;56.6900000;56.8300000;58177
20170106;000000;56.8400000;56.8500000;56.7400000;56.8400000;12504
20170106;110000;56.7400000;56.8000000;56.6500000;56.6800000;29363
20170106;120000;56.6800000;57.0000000;56.5400000;56.9200000;78329
20170106;130000;56.9200000;57.1800000;56.8100000;57.1600000;70117
20170106;140000;57.1500000;57.4400000;57.0800000;57.4300000;75087
20170106;150000;57.4200000;57.4200000;57.1500000;57.3200000;48467
20170106;160000;57.3100000;57.3900000;57.1700000;57.2000000;34849
20170106;170000;57.2100000;57.3900000;57.1500000;57.2800000;68622
20170106;180000;57.2900000;57.3900000;56.5800000;56.8200000;183344
20170106;190000;56.8300000;56.9600000;56.5500000;56.6100000;60395
20170106;200000;56.6400000;57.2800000;56.2900000;57.2200000;170832
20170106;210000;57.2300000;57.2500000;57.0000000;57.0100000;49776
20170106;220000;57.0000000;57.0700000;56.8700000;56.9100000;44120
20170106;230000;56.9200000;57.1400000;56.8400000;56.9100000;61530
20170107;000000;56.9100000;56.9500000;56.7800000;56.8100000;32915
20170109;110000;56.8800000;56.8900000;56.6600000;56.7600000;52208
20170109;120000;56.7600000;56.9100000;56.6500000;56.7200000;75311
20170109;130000;56.7300000;56.7500000;56.1000000;56.2800000;145012
20170109;140000;56.2700000;56.3000000;56.0500000;56.2500000;71347
20170109;150000;56.2400000;56.2600000;56.0200000;56.0600000;39886
20170109;160000;56.0600000;56.1300000;55.8600000;55.9800000;75670
20170109;170000;55.9800000;56.0900000;55.8400000;55.9400000;73762
20170109;180000;55.9500000;56.0000000;55.6300000;55.7300000;134472
20170109;190000;55.7300000;55.8100000;55.5300000;55.6500000;85334
20170109;200000;55.6400000;55.6400000;55.3200000;55.3300000;144154
20170109;210000;55.3300000;55.5900000;55.2700000;55.4700000;99415
20170109;220000;55.4800000;55.5300000;55.2900000;55.4000000;39038
20170109;230000;55.4000000;55.4700000;54.8100000;54.8700000;107554
20170110;000000;54.8700000;54.9000000;54.7800000;54.8700000;42835
20170110;110000;54.8700000;55.1100000;54.8700000;55.0900000;70492
20170110;120000;55.0800000;55.3500000;54.8300000;55.0900000;174274
20170110;130000;55.1000000;55.2300000;54.9400000;55.2000000;84495
20170110;140000;55.2000000;55.3200000;55.1400000;55.3000000;67334
20170110;150000;55.3100000;55.3400000;55.0600000;55.0700000;50796
20170110;160000;55.0800000;55.1200000;54.9300000;55.1100000;113051
20170110;170000;55.1100000;55.2000000;54.8700000;55.0300000;98060
20170110;180000;55.0300000;55.2600000;54.8400000;54.9400000;157458
20170110;190000;54.9300000;55.0000000;54.4100000;54.4400000;206861
20170110;200000;54.4300000;54.4600000;53.9600000;54.1200000;298463
20170110;210000;54.1100000;54.3800000;54.0600000;54.2500000;113429
20170110;220000;54.2400000;54.2500000;53.8800000;53.9000000;152055
20170110;230000;53.9000000;53.9500000;53.6300000;53.6900000;142874
20170111;000000;53.6900000;53.7800000;53.6500000;53.6500000;43247
20170111;110000;53.6700000;53.9200000;53.6700000;53.9000000;84076
20170111;120000;53.9100000;53.9600000;53.7300000;53.8500000;95312
