<DATE>;<TIME>;<CLOSE>
20170103;100000;57.0000000
20170103;110000;57.4600000
20170103;120000;58.1000000
20170103;130000;58.0300000
20170103;140000;58.0300000
20170103;150000;58.0800000
20170103;160000;57.8600000
20170103;170000;58.0800000
20170103;180000;57.7300000
20170103;190000;55.9000000
20170103;200000;55.5900000
20170103;210000;55.6600000
20170103;220000;55.4000000
20170103;230000;55.6400000
20170104;100000;55.7100000
20170104;110000;55.9700000
20170104;120000;55.8900000
20170104;130000;55.5600000
20170104;140000;55.8200000
20170104;150000;55.7700000
20170104;160000;55.6600000
20170104;170000;55.4300000
20170104;180000;55.5900000
20170104;190000;56.2500000
20170104;200000;56.4000000
20170104;210000;56.4000000
20170104;220000;56.3000000
20170104;230000;56.2700000
20170105;100000;56.3200000
20170105;110000;56.3700000
20170105;120000;56.2800000
20170105;130000;56.5400000
20170105;140000;57.0000000
20170105;150000;56.9500000
20170105;160000;56.9300000
20170105;170000;57.0800000
20170105;180000;57.0600000
20170105;190000;56.3200000
20170105;200000;56.7600000
20170105;210000;56.7100000
20170105;220000;56.8300000
20170105;230000;56.8400000
20170106;100000;56.6800000
20170106;110000;56.9200000
20170106;120000;57.1600000
20170106;130000;57.4300000
20170106;140000;57.3200000
20170106;150000;57.2000000
20170106;160000;57.2800000
20170106;170000;56.8200000
20170106;180000;56.6100000
20170106;190000;57.2200000
20170106;200000;57.0100000
20170106;210000;56.9100000
20170106;220000;56.9100000
20170106;230000;56.8100000
20170109;100000;56.7600000
20170109;110000;56.7200000
20170109;120000;56.2800000
20170109;130000;56.2500000
20170109;140000;56.0600000
20170109;150000;55.9800000
20170109;160000;55.9400000
20170109;170000;55.7300000
20170109;180000;55.6500000
20170109;190000;55.3300000
20170109;200000;55.4700000
20170109;210000;55.4000000
20170109;220000;54.8700000
20170109;230000;54.8700000
20170110;100000;55.0900000
20170110;110000;55.0900000
20170110;120000;55.2000000
20170110;130000;55.3000000
20170110;140000;55.0700000
20170110;150000;55.1100000
20170110;160000;55.0300000
20170110;170000;54.9400000
20170110;180000;54.4400000
20170110;190000;54.1200000
20170110;200000;54.2500000
20170110;210000;53.9000000
20170110;220000;53.6900000
20170110;230000;53.6500000
20170111;100000;53.9000000
20170111;110000;53.8500000
20170111;120000;54.1300000
20170111;130000;54.0400000
20170111;140000;53.9500000
20170111;150000;53.8800000
20170111;160000;54.0700000
20170111;170000;54.2500000
20170111;180000;54.6100000
20170111;190000;55.0600000
20170111;200000;55.5200000
20170111;210000;55.4700000
20170111;220000;55.1000000
20170111;230000;55.1700000
20170112;100000;55.3400000
20170112;110000;55.5300000
20170112;120000;55.5100000
20170112;130000;55.6800000
20170112;140000;55.7900000
20170112;150000;55.9000000
20170112;160000;56.0200000
20170112;170000;56.0700000
20170112;180000;56.1400000
20170112;190000;56.1900000
20170112;200000;56.0800000
20170112;210000;56.1500000
20170112;220000;56.1000000
20170112;230000;56.0900000
20170113;100000;55.9300000
20170113;110000;56.0400000
20170113;120000;55.8700000
20170113;130000;55.3500000
20170113;140000;55.4100000
20170113;150000;55.6200000
