<DATE>;<TIME>;<CLOSE>;<SMA10>;<SMA20>;<SMA30>
20170105;120000;56.3700000;56.09899999999999;55.89999999999999;56.47566666666667
20170105;130000;56.2800000;56.161;55.93449999999999;56.451666666666675
20170105;140000;56.5400000;56.27199999999999;55.9785;56.421
20170105;150000;57.0000000;56.41300000000001;56.058499999999995;56.38433333333332
20170105;160000;56.9500000;56.483000000000004;56.12399999999999;56.34833333333333
20170105;170000;56.9300000;56.53599999999999;56.18499999999999;56.31166666666666
20170105;180000;57.0800000;56.604;56.2405;56.27833333333332
20170105;190000;57.0600000;56.67999999999999;56.29899999999999;56.25166666666665
20170105;200000;56.3200000;56.685;56.337;56.192999999999984
20170105;210000;56.7600000;56.729;56.38399999999999;56.16066666666665
20170105;220000;56.7100000;56.763;56.431000000000004;56.18766666666666
20170105;230000;56.8300000;56.818;56.4895;56.22899999999999
20170106;000000;56.8400000;56.84799999999999;56.56;56.268333333333324
20170106;110000;56.6800000;56.81599999999999;56.61450000000001;56.31099999999999
20170106;120000;56.9200000;56.813;56.64800000000001;56.353666666666655
20170106;130000;57.1600000;56.836;56.686000000000014;56.401999999999994
20170106;140000;57.4300000;56.870999999999995;56.7375;56.45066666666666
20170106;150000;57.3200000;56.897000000000006;56.7885;56.49833333333333
20170106;160000;57.2000000;56.985;56.835;56.553000000000004
20170106;170000;57.2800000;57.037;56.882999999999996;56.60166666666667
20170106;180000;56.8200000;57.048;56.905499999999996;56.63666666666667
20170106;190000;56.6100000;57.025999999999996;56.92199999999999;56.66833333333333
20170106;200000;57.2200000;57.064;56.95599999999998;56.728
20170106;210000;57.0100000;57.096999999999994;56.95649999999999;56.77533333333334
20170106;220000;56.9100000;57.09599999999999;56.95450000000001;56.79733333333334
20170106;230000;56.9100000;57.07099999999999;56.95350000000002;56.814333333333344
20170107;000000;56.8100000;57.00899999999999;56.94000000000001;56.827999999999996
20170109;110000;56.7600000;56.952999999999996;56.925;56.843333333333334
20170109;120000;56.7200000;56.90500000000001;56.94500000000001;56.858333333333334
20170109;130000;56.2800000;56.80499999999999;56.92100000000001;56.85699999999999
20170109;140000;56.2500000;56.74799999999999;56.898;56.852999999999994
20170109;150000;56.0600000;56.693000000000005;56.85949999999999;56.845666666666666
20170109;160000;55.9800000;56.568999999999996;56.8165;56.82699999999999
20170109;170000;55.9400000;56.462;56.7795;56.791666666666664
20170109;180000;55.7300000;56.34400000000001;56.71999999999999;56.751000000000005
20170109;190000;55.6500000;56.218;56.64450000000001;56.70833333333335
20170109;200000;55.3300000;56.07000000000001;56.5395;56.650000000000006
20170109;210000;55.4700000;55.940999999999995;56.447;56.597
20170109;220000;55.4000000;55.80899999999999;56.35700000000001;56.56633333333334
20170109;230000;54.8700000;55.66799999999999;56.2365;56.50333333333334
20170110;000000;54.8700000;55.529999999999994;56.138999999999996;56.442
20170110;110000;55.0900000;55.43300000000001;56.063;56.38399999999999
20170110;120000;55.0900000;55.34400000000001;55.95649999999999;56.325666666666656
20170110;130000;55.2000000;55.27;55.86600000000001;56.276333333333326
20170110;140000;55.3000000;55.227;55.7855;56.22233333333332
20170110;150000;55.0700000;55.169000000000004;55.69350000000001;56.152666666666654
20170110;160000;55.1100000;55.147000000000006;55.60850000000001;56.07533333333332
20170110;170000;55.0300000;55.102999999999994;55.522000000000006;55.99899999999999
20170110;180000;54.9400000;55.056999999999995;55.43300000000001;55.92366666666666
20170110;190000;54.4400000;55.013999999999996;55.34100000000001;55.828999999999986
20170110;200000;54.1200000;54.939;55.234500000000004;55.73899999999999
20170110;210000;54.2500000;54.855;55.144000000000005;55.66033333333333
20170110;220000;53.9000000;54.736000000000004;55.040000000000006;55.54966666666666
20170110;230000;53.6900000;54.585;54.92750000000001;55.439
20170111;000000;53.6500000;54.42;54.82350000000001;55.330333333333336
20170111;110000;53.9000000;54.303;54.73600000000001;55.23000000000001
20170111;120000;53.8500000;54.176999999999985;54.662;55.131333333333345
20170111;130000;54.1300000;54.087;54.595000000000006;55.04366666666668
20170111;140000;54.0400000;53.99699999999999;54.527;54.954333333333345
20170111;150000;53.9500000;53.948;54.480999999999995;54.87666666666668
20170111;160000;53.8800000;53.924;54.43150000000001;54.797666666666686
20170111;170000;54.0700000;53.906000000000006;54.3805;54.73133333333335
20170111;180000;54.2500000;53.94100000000001;54.338499999999996;54.67366666666668
20170111;190000;54.6100000;54.032999999999994;54.309000000000005;54.62933333333334
20170111;200000;55.0600000;54.174;54.297000000000004;54.607000000000006
20170111;210000;55.5200000;54.336;54.319500000000005;54.60266666666667
20170111;220000;55.4700000;54.498000000000005;54.3375;54.60733333333334
20170111;230000;55.1000000;54.595000000000006;54.340999999999994;54.595
20170112;000000;55.1700000;54.70799999999999;54.3525;54.587333333333326
20170112;110000;55.3400000;54.847;54.3975;54.60299999999999
20170112;120000;55.5300000;55.012;54.467999999999996;54.62499999999999
20170112;130000;55.5100000;55.156000000000006;54.531000000000006;54.63899999999999
20170112;140000;55.6800000;55.29899999999999;54.62000000000002;54.65866666666666
20170112;150000;55.7900000;55.416999999999994;54.72499999999999;54.67833333333333
20170112;160000;55.9000000;55.501;54.8375;54.69833333333334
20170112;170000;56.0200000;55.551;54.94349999999999;54.730000000000004
20170112;180000;56.0700000;55.611000000000004;55.0545;54.76199999999999
20170112;190000;56.1400000;55.714999999999996;55.154999999999994;54.799
20170112;200000;56.1900000;55.81699999999999;55.2625;54.84066666666667
20170112;210000;56.0800000;55.891;55.36899999999999;54.89533333333334
20170112;220000;56.1500000;55.952999999999996;55.482499999999995;54.963
20170112;230000;56.1000000;56.012;55.58399999999999;55.024666666666675
20170113;000000;56.0900000;56.053;55.67599999999999;55.097666666666676
20170113;110000;55.9300000;56.06699999999999;55.742000000000004;55.17233333333333
20170113;120000;56.0400000;56.081;55.79100000000001;55.251999999999995
20170113;130000;55.8700000;56.06600000000001;55.8085;55.31766666666666
20170113;140000;55.3500000;55.99400000000001;55.802499999999995;55.36766666666666
20170113;150000;55.4100000;55.92100000000001;55.818;55.41033333333333
20170113;160000;55.6200000;55.864;55.8405;55.46299999999999
20170113;170000;55.8300000;55.83900000000001;55.86499999999999;55.52566666666665
20170113;180000;55.9200000;55.815999999999995;55.8845;55.59366666666665
20170113;190000;55.6800000;55.774;55.89300000000001;55.64733333333332
20170113;200000;55.7100000;55.736000000000004;55.894499999999994;55.69599999999999
20170113;210000;55.6300000;55.705999999999996;55.8865;55.730000000000004
20170113;220000;55.5200000;55.653999999999996;55.86750000000001;55.745333333333335
20170113;230000;55.5300000;55.61999999999999;55.843;55.74566666666667
20170114;000000;55.6100000;55.646;55.81999999999999;55.75033333333333
20170116;110000;55.3800000;55.642999999999994;55.782000000000004;55.75966666666667
20170116;120000;55.3600000;55.617000000000004;55.7405;55.766
20170116;130000;55.7200000;55.60600000000001;55.722500000000004;55.778666666666666
20170116;140000;55.5900000;55.573000000000015;55.69449999999999;55.78066666666667
20170116;150000;55.2500000;55.53000000000001;55.652;55.772000000000006
20170116;160000;55.3300000;55.492000000000004;55.614;55.76033333333332
20170116;170000;55.3200000;55.461;55.583499999999994;55.74466666666665
20170116;180000;55.4100000;55.45;55.55200000000001;55.72833333333333
20170116;190000;55.3500000;55.432;55.525999999999996;55.705999999999996
20170116;200000;55.3800000;55.409000000000006;55.52750000000001;55.68299999999999
20170116;210000;55.8600000;55.45700000000001;55.55;55.67366666666666
20170116;220000;55.6900000;55.49000000000001;55.55350000000001;55.657
20170116;230000;55.6800000;55.486000000000004;55.546000000000014;55.64366666666667
20170117;000000;55.6500000;55.492000000000004;55.53250000000001;55.626999999999995
20170117;110000;55.7800000;55.545;55.5375;55.61633333333334
20170117;120000;55.7800000;55.589999999999996;55.541;55.606
20170117;130000;56.5100000;55.70899999999999;55.584999999999994;55.62533333333333
20170117;140000;56.5500000;55.82299999999999;55.63649999999999;55.64233333333334
20170117;150000;56.4400000;55.931999999999995;55.681999999999995;55.66133333333334
20170117;160000;56.5400000;56.04799999999999;55.7285;55.70100000000001
20170117;170000;56.6900000;56.13100000000001;55.794;55.74366666666667
20170117;180000;56.3700000;56.199;55.8445;55.768666666666675
20170117;190000;55.7900000;56.21;55.84799999999999;55.76733333333334
20170117;200000;55.9200000;56.237;55.86450000000001;55.76733333333334
20170117;210000;56.0600000;56.26500000000001;55.904999999999994;55.779999999999994
20170117;220000;56.1000000;56.297000000000004;55.943499999999986;55.79299999999999
20170117;230000;55.4700000;56.193000000000005;55.950999999999986;55.78766666666665
20170118;000000;55.4300000;56.080999999999996;55.951999999999984;55.78466666666666
20170118;110000;55.7200000;56.009;55.970499999999994;55.79099999999999
20170118;120000;55.6400000;55.919;55.98349999999999;55.792
20170118;130000;55.0200000;55.751999999999995;55.941500000000005;55.779999999999994
20170118;140000;54.7700000;55.592;55.895500000000006;55.76033333333333
20170118;150000;54.8600000;55.499;55.854499999999994;55.73166666666666
20170118;160000;54.6100000;55.367999999999995;55.802499999999995;55.699
20170118;170000;54.2600000;55.188;55.7265;55.66599999999999
20170118;180000;54.4100000;55.01899999999999;55.658;55.63533333333332
20170118;190000;54.3800000;54.910000000000004;55.55150000000001;55.604
20170118;200000;55.0400000;54.870999999999995;55.476;55.59166666666666
20170118;210000;54.2600000;54.72500000000001;55.367;55.55533333333333
20170118;220000;54.2700000;54.588;55.253499999999995;55.518333333333324
20170118;230000;54.0900000;54.49499999999999;55.12349999999999;55.45933333333333
20170119;000000;54.1700000;54.43499999999999;55.0135;55.40866666666667
20170119;110000;54.4700000;54.395999999999994;54.947500000000005;55.36833333333333
20170119;120000;54.4100000;54.37599999999999;54.87199999999999;55.327000000000005
20170119;130000;54.1400000;54.36399999999999;54.775999999999996;55.27233333333334
20170119;140000;54.3000000;54.352999999999994;54.68599999999999;55.223000000000006
20170119;150000;54.3600000;54.350999999999985;54.6305;55.15133333333334
20170119;160000;54.5100000;54.298;54.58449999999999;55.083333333333336
20170119;170000;54.4000000;54.312;54.5185;55.01533333333334
20170119;180000;54.5400000;54.339;54.463499999999996;54.94866666666667
20170119;190000;54.5900000;54.388999999999996;54.441999999999986;54.87866666666666
20170119;200000;54.2400000;54.396;54.41549999999999;54.80766666666667
20170119;210000;54.1000000;54.359;54.37749999999998;54.751333333333335
20170119;220000;54.3100000;54.349000000000004;54.36249999999999;54.697666666666656
20170119;230000;54.1500000;54.35000000000001;54.35699999999999;54.63399999999999
20170120;000000;54.2300000;54.342999999999996;54.348;54.57166666666665
20170120;110000;54.4600000;54.352999999999994;54.35199999999999;54.538
20170120;120000;54.4700000;54.349000000000004;54.3235;54.50599999999999
